(?:)
(?:)
&#10;	!\n!
&#xFEA0;	ﺠ
&#xFEA1;	ﺡ
&#xFEA2;	ﺢ
&#xFEA3;	ﺣ
&#xFEA4;	ﺤ
&#xFEA5;	ﺥ
&#xFEA6;	ﺦ
&#xFEA7;	ﺧ
&#xFEA8;	ﺨ
&#xFEA9;	ﺩ
&#xFEAA;	ﺪ
&#xFEAB;	ﺫ
&#xFEAC;	ﺬ
&#xFEAD;	ﺭ
&#xFEAE;	ﺮ
&#xFEAF;	ﺯ
&#xFEB0;	ﺰ
&#xFEB1;	ﺱ
&#xFEB2;	ﺲ
&#xFEB3;	ﺳ
&#xFEB4;	ﺴ
&#xFEB5;	ﺵ
&#xFEB6;	ﺶ
&#xFEB7;	ﺷ
&#xFEB8;	ﺸ
&#xFEB9;	ﺹ
&#xFEBA;	ﺺ
&#xFEBB;	ﺻ
&#xFEBC;	ﺼ
&#xFEBD;	ﺽ
&#xFEBE;	ﺾ
&#xFEBF;	ﺿ
&#xFEC0;	ﻀ
&#xFEC1;	ﻁ
&#xFEC2;	ﻂ
&#xFEC3;	ﻃ
&#xFEC4;	ﻄ
&#xFEC5;	ﻅ
&#xFEC6;	ﻆ
&#xFEC7;	ﻇ
&#xFEC8;	ﻈ
&#xFEC9;	ﻉ
&#xFECA;	ﻊ
&#xFECB;	ﻋ
&#xFECC;	ﻌ
&#xFECD;	ﻍ
&#xFECE;	ﻎ
&#xFECF;	ﻏ
&#xFED0;	ﻐ
&#xFED1;	ﻑ
&#xFED2;	ﻒ
&#xFED3;	ﻓ
&#xFED4;	ﻔ
&#xFED5;	ﻕ
&#xFED6;	ﻖ
&#xFED7;	ﻗ
&#xFED8;	ﻘ
&#xFED9;	ﻙ
&#xFEDA;	ﻚ
&#xFEDB;	ﻛ
&#xFEDC;	ﻜ
&#xFEDD;	ﻝ
&#xFEDE;	ﻞ
&#xFEDF;	ﻟ
&#xFEE0;	ﻠ
&#xFEE1;	ﻡ
&#xFEE2;	ﻢ
&#xFEE3;	ﻣ
&#xFEE4;	ﻤ
&#xFEE5;	ﻥ
&#xFEE6;	ﻦ
&#xFEE7;	ﻧ
&#xFEE8;	ﻨ
&#xFEE9;	ﻩ
&#xFEEA;	ﻪ
&#xFEEB;	ﻫ
&#xFEEC;	ﻬ
&#xFEED;	ﻭ
&#xFEEE;	ﻮ
&#xFEEF;	ﻯ
&#xFEF0;	ﻰ
&#xFEF1;	ﻱ
&#xFEF2;	ﻲ
&#xFEF3;	ﻳ
&#65268;	ﻴ
&#xFEFB;	ﻻ
&#xFEFC;	ﻼ
&#65279;	﻿
&#65281;	！
&#65286;	＆
&#65288;	（
&#65289;	）
&#65292;	，
&#65293;	－
&#65294;	．
&#65297;	１
&#65298;	２
&#65306;	：
&#65307;	；
&#65309;	＝
&#65311;	？
&#65336;	Ｘ
&#65367;	ｗ
&#65371;	｛
&#65373;	｝
&#65374;	～
&#65532;	￼
&#65533;	�
&#x10000;	𐀀
&#x10001;	𐀁
&#x10002;	𐀂
&#x10003;	𐀃
&#x10004;	𐀄
&#x10005;	𐀅
&#x10006;	𐀆
&#x10007;	𐀇
&#x10008;	𐀈
&#x10009;	𐀉
&#x1000a;	𐀊
&#x1000b;	𐀋
&#x1000d;	𐀍
&#x1000e;	𐀎
&#x1000f;	𐀏
&#x10010;	𐀐
&#x10011;	𐀑
&#x10012;	𐀒
&#x10013;	𐀓
&#x10014;	𐀔
&#x10015;	𐀕
&#x10016;	𐀖
&#x10017;	𐀗
&#x10018;	𐀘
&#x10019;	𐀙
&#x1001a;	𐀚
&#x1001b;	𐀛
&#x1001c;	𐀜
&#x1001d;	𐀝
&#x1001e;	𐀞
&#x1001f;	𐀟
&#x10020;	𐀠
&#x10021;	𐀡
&#x10022;	𐀢
&#x10023;	𐀣
&#x10024;	𐀤
&#x10025;	𐀥
&#x10026;	𐀦
&#x10028;	𐀨
&#x10029;	𐀩
&#x1002a;	𐀪
&#x1002b;	𐀫
&#x1002c;	𐀬
&#x1002d;	𐀭
&#x1002e;	𐀮
&#x1002f;	𐀯
&#x10030;	𐀰
&#x10031;	𐀱
&#x10032;	𐀲
&#x10033;	𐀳
&#x10034;	𐀴
&#x10035;	𐀵
&#x10036;	𐀶
&#x10037;	𐀷
&#x10038;	𐀸
&#x10039;	𐀹
&#x1003a;	𐀺
&#x1003c;	𐀼
&#x1003d;	𐀽
&#x1003f;	𐀿
&#x100cc;	𐃌
&#x10300;	𐌀
&#x10301;	𐌁
&#x10302;	𐌂
&#x10303;	𐌃
&#x10304;	𐌄
&#x10305;	𐌅
&#x10306;	𐌆
&#x10307;	𐌇
&#x10308;	𐌈
&#x10309;	𐌉
&#x1030a;	𐌊
&#x1030b;	𐌋
&#x1030c;	𐌌
&#x1030d;	𐌍
&#x1030e;	𐌎
&#x1030f;	𐌏
&#x10310;	𐌐
&#x10311;	𐌑
&#x10312;	𐌒
&#x10313;	𐌓
&#x10314;	𐌔
&#x10315;	𐌕
&#x10316;	𐌖
&#x10317;	𐌗
&#x10318;	𐌘
&#x10319;	𐌙
&#x1031a;	𐌚
&#x1031b;	𐌛
&#x1031c;	𐌜
&#x1031d;	𐌝
&#x1031e;	𐌞
&#x10320;	𐌠
&#x10321;	𐌡
&#x10322;	𐌢
&#x10323;	𐌣
&#66355;	𐌳
&#66374;	𐍆
&#x10380;	𐎀
&#x10381;	𐎁
&#x10382;	𐎂
&#x10383;	𐎃
&#x10384;	𐎄
&#x10385;	𐎅
&#x10386;	𐎆
&#x10387;	𐎇
&#x10388;	𐎈
&#x10389;	𐎉
&#x1038a;	𐎊
&#x1038b;	𐎋
&#x1038c;	𐎌
&#x1038d;	𐎍
&#x1038e;	𐎎
&#x10390;	𐎐
&#x10391;	𐎑
&#x10392;	𐎒
&#x10393;	𐎓
&#x10394;	𐎔
&#x10395;	𐎕
&#x10396;	𐎖
&#x10397;	𐎗
&#x10398;	𐎘
&#x10399;	𐎙
&#x1039a;	𐎚
&#x1039b;	𐎛
&#x1039c;	𐎜
&#x1039d;	𐎝
&#x1039e;	𐎞
&#x1039f;	𐎟
&#66560;	𐐀
&#66561;	𐐁
&#66562;	𐐂
&#66563;	𐐃
&#66564;	𐐄
&#66565;	𐐅
&#66566;	𐐆
&#66567;	𐐇
&#66568;	𐐈
&#66569;	𐐉
&#66570;	𐐊
&#66571;	𐐋
&#66572;	𐐌
&#66573;	𐐍
&#66574;	𐐎
&#66575;	𐐏
&#66576;	𐐐
&#66577;	𐐑
&#66578;	𐐒
&#66579;	𐐓
&#66580;	𐐔
&#66581;	𐐕
&#66582;	𐐖
&#66583;	𐐗
&#66584;	𐐘
&#66585;	𐐙
&#66586;	𐐚
&#66587;	𐐛
&#66588;	𐐜
&#66589;	𐐝
&#66590;	𐐞
&#66591;	𐐟
&#66592;	𐐠
&#66593;	𐐡
&#66594;	𐐢
&#66595;	𐐣
&#66596;	𐐤
&#66597;	𐐥
&#66598;	𐐦
&#66599;	𐐧
&#66600;	𐐨
&#66601;	𐐩
&#66602;	𐐪
&#66603;	𐐫
&#66604;	𐐬
&#66605;	𐐭
&#66606;	𐐮
&#66607;	𐐯
&#66608;	𐐰
&#66609;	𐐱
&#66610;	𐐲
&#66611;	𐐳
&#66612;	𐐴
&#66613;	𐐵
&#66614;	𐐶
&#66615;	𐐷
&#66616;	𐐸
&#66617;	𐐹
&#66618;	𐐺
&#66619;	𐐻
&#66620;	𐐼
&#66621;	𐐽
&#66622;	𐐾
&#66623;	𐐿
&#66624;	𐑀
&#66625;	𐑁
&#66626;	𐑂
&#66627;	𐑃
&#66628;	𐑄
&#66629;	𐑅
&#66630;	𐑆
&#66631;	𐑇
&#66632;	𐑈
&#66633;	𐑉
&#66634;	𐑊
&#66635;	𐑋
&#66636;	𐑌
&#66637;	𐑍
&#x10900;	𐤀
&#x10916;	𐤖
&#x10917;	𐤗
&#x10918;	𐤘
&#x10919;	𐤙
&#x1091A;	𐤚
&#x1091F;	𐤟
&#119070;	𝄞
&#119082;	𝄪
&#x1D504;	𝔄
&#x1D538;	𝔸
&#x1D539;	𝔹
&#x1D53B;	𝔻
&#x1D53C;	𝔼
&#x1D53D;	𝔽
&#x1D53E;	𝔾
&#x1D541;	𝕁
&#x1D542;	𝕂
&#x1D546;	𝕆
&#x1D54A;	𝕊
&#x1D54B;	𝕋
&#173733;	𪚥

(?:)
(?:)
&#034;	!"!
&#35;	!#!
&#x27;	!'!
&#042;	!*!
&#43;	!+!
&#0045;	!-!
&#46;	!.!
&#58;	!:!
&#60;	!<!
&#62;	!>!
&#64;	!@!
&#x44;	!D!
&#x50;	!P!
&#x5B;	![!
&#093;	!]!
&#95;	!_!
&#097;	!a!
&#x0062;	!b!
&#100;	!d!
&#x0065;	!e!
&#102;	!f!
&#103;	!g!
&#104;	!h!
&#x69;	!i!
&#106;	!j!
&#x6b;	!k!
&#x6c;	!l!
&#109;	!m!
&#x006e;	!n!
&#111;	!o!
&#112;	!p!
&#x72;	!r!
&#x73;	!s!
&#x0074;	!t!
&#120;	!x!
&#121;	!y!
&#124;	!|!
&#147;	!\xC2\x93!
&#148;	!\xC2\x94!
&#151;	!\xC2\x97!
&#xA0;	!\xC2\xA0!
&#X00A3;	!\xC2\xA3!
&#168;	!\xC2\xA8!
&#xAF;	!\xC2\xAF!
&#176;	!\xC2\xB0!
&#181;	!\xC2\xB5!
&#183;	!\xC2\xB7!
&#xBD;	!\xC2\xBD!
&#191;	!\xC2\xBF!
&#x00C5;	!\xC3\x85!
&#208;	!\xC3\x90!
&#xD7;	!\xC3\x97!
&#xDD;	!\xC3\x9D!
&#xDE;	!\xC3\x9E!
&#224;	!\xC3\xA0!
&#xE1;	!\xC3\xA1!
&#xE2;	!\xC3\xA2!
&#xE3;	!\xC3\xA3!
&#228;	!\xC3\xA4!
&#xE5;	!\xC3\xA5!
&#xe6;	!\xC3\xA6!
&#231;	!\xC3\xA7!
&#233;	!\xC3\xA9!
&#0236;	!\xC3\xAC!
&#237;	!\xC3\xAD!
&#240;	!\xC3\xB0!
&#241;	!\xC3\xB1!
&#xf3;	!\xC3\xB3!
&#244;	!\xC3\xB4!
&#247;	!\xC3\xB7!
&#xF9;	!\xC3\xB9!
&#250;	!\xC3\xBA!
&#0252;	!\xC3\xBC!
&#xFD;	!\xC3\xBD!
&#254;	!\xC3\xBE!
&#x0101;	\xC4\x81
&#x0103;	\xC4\x83
&#0261;	\xC4\x85
&#263;	\xC4\x87
&#265;	\xC4\x89
&#268;	\xC4\x8C
&#x010d;	\xC4\x8D
&#x0111;	\xC4\x91
&#x0113;	\xC4\x93
&#x115;	\xC4\x95
&#279;	\xC4\x97
&#x119;	\xC4\x99
&#283;	\xC4\x9B
&#x11c;	\xC4\x9C
&#285;	\xC4\x9D
&#x11F;	\xC4\x9F
&#293;	\xC4\xA5
&#0299;	\xC4\xAB
&#x130;	\xC4\xB0
&#x131;	\xC4\xB1
&#x135;	\xC4\xB5
&#331;	\xC5\x8B
&#x014D;	\xC5\x8D
&#335;	\xC5\x8F
&#337;	\xC5\x91
&#x0159;	\xC5\x99
&#0346;	\xC5\x9A
&#x015b;	\xC5\x9B
&#x15c;	\xC5\x9C
&#x15d;	\xC5\x9D
&#x15E;	\xC5\x9E
&#0351;	\xC5\x9F
&#352;	\xC5\xA0
&#X161;	\xC5\xA1
&#0355;	\xC5\xA3
&#363;	\xC5\xAB
&#x16c;	\xC5\xAC
&#x16d;	\xC5\xAD
&#371;	\xC5\xB3
&#399;	\xC6\x8F
&#477;	\xC7\x9D
&#x1e3;	\xC7\xA3
&#491;	\xC7\xAB
&#563;	\xC8\xB3
&#x250;	\xC9\x90
&#593;	\xC9\x91
&#594;	\xC9\x92
&#x0254;	\xC9\x94
&#601;	\xC9\x99
&#x025B;	\xC9\x9B
&#x025F;	\xC9\x9F
&#x0262;	\xC9\xA2
&#611;	\xC9\xA3
&#x268;	\xC9\xA8
&#x26A;	\xC9\xAA
&#x26b;	\xC9\xAB
&#620;	\xC9\xAC
&#x026d;	\xC9\xAD
&#x0271;	\xC9\xB1
&#626;	\xC9\xB2
&#643;	\xCA\x83
&#648;	\xCA\x88
&#x0289;	\xCA\x89
&#x28a;	\xCA\x8A
&#652;	\xCA\x8C
&#653;	\xCA\x8D
&#x028F;	\xCA\x8F
&#658;	\xCA\x92
&#660;	\xCA\x94
&#669;	\xCA\x9D
&#675;	\xCA\xA3
&#x2a4;	\xCA\xA4
&#x2a6;	\xCA\xA6
&#679;	\xCA\xA7
&#x02b0;	\xCA\xB0
&#x02b2;	\xCA\xB2
&#x2B7;	\xCA\xB7
&#699;	\xCA\xBB
&#700;	\xCA\xBC
&#x2c7;	\xCB\x87
&#x02c8;	\xCB\x88
&#x02cc;	\xCB\x8C
&#x02d0;	\xCB\x90
&#728;	\xCB\x98
&#733;	\xCB\x9D
&#736;	\xCB\xA0
&#768;	\xCC\x80
&#769;	\xCC\x81
&#770;	\xCC\x82
&#x0303;	\xCC\x83
&#776;	\xCC\x88
&#x309;	\xCC\x89
&#779;	\xCC\x8B
&#x314;	\xCC\x94
&#x323;	\xCC\xA3
&#0805;	\xCC\xA5
&#809;	\xCC\xA9
&#815;	\xCC\xAF
&#x342;	\xCD\x82
&#865;	\xCD\xA1
&#x391;	\xCE\x91
&#x0394;	\xCE\x94
&#922;	\xCE\x9A
&#x039c;	\xCE\x9C
&#x39D;	\xCE\x9D
&#928;	\xCE\xA0
&#934;	\xCE\xA6
&#x3A7;	\xCE\xA7
&#x03A9;	\xCE\xA9
&#941;	\xCE\xAD
&#x03af;	\xCE\xAF
&#x03B1;	\xCE\xB1
&#x03b2;	\xCE\xB2
&#x03b3;	\xCE\xB3
&#x03b4;	\xCE\xB4
&#x3B5;	\xCE\xB5
&#0950;	\xCE\xB6
&#0951;	\xCE\xB7
&#0952;	\xCE\xB8
&#x3b9;	\xCE\xB9
&#0954;	\xCE\xBA
&#955;	\xCE\xBB
&#0956;	\xCE\xBC
&#x3BD;	\xCE\xBD
&#x03BF;	\xCE\xBF
&#960;	\xCF\x80
&#0961;	\xCF\x81
&#x03c2;	\xCF\x82
&#963;	\xCF\x83
&#x03C4;	\xCF\x84
&#0965;	\xCF\x85
&#x03c7;	\xCF\x87
&#968;	\xCF\x88
&#x03c9;	\xCF\x89
&#0972;	\xCF\x8C
&#973;	\xCF\x8D
&#x03df;	\xCF\x9F
&#x0421;	\xD0\xA1
&#1061;	\xD0\xA5
&#x430;	\xD0\xB0
&#x431;	\xD0\xB1
&#1074;	\xD0\xB2
&#1077;	\xD0\xB5
&#x436;	\xD0\xB6
&#x0438;	\xD0\xB8
&#x043A;	\xD0\xBA
&#1083;	\xD0\xBB
&#x43c;	\xD0\xBC
&#x43d;	\xD0\xBD
&#1086;	\xD0\xBE
&#x043F;	\xD0\xBF
&#x0440;	\xD1\x80
&#1089;	\xD1\x81
&#x442;	\xD1\x82
&#1091;	\xD1\x83
&#x447;	\xD1\x87
&#x44b;	\xD1\x8B
&#1100;	\xD1\x8C
&#x44f;	\xD1\x8F
&#1123;	\xD1\xA3
&#x46B;	\xD1\xAB
&#x49A;	\xD2\x9A
&#x49B;	\xD2\x9B
&#1443;	\xD6\xA3
&#x05D0;	\xD7\x90
&#x5d1;	\xD7\x91
&#x05D2;	\xD7\x92
&#1491;	\xD7\x93
&#1492;	\xD7\x94
&#1493;	\xD7\x95
&#x05D6;	\xD7\x96
&#x05D8;	\xD7\x98
&#x5d9;	\xD7\x99
&#1498;	\xD7\x9A
&#1499;	\xD7\x9B
&#1500;	\xD7\x9C
&#1502;	\xD7\x9E
&#1503;	\xD7\x9F
&#1504;	\xD7\xA0
&#x05E1;	\xD7\xA1
&#1506;	\xD7\xA2
&#x05E3;	\xD7\xA3
&#x05E4;	\xD7\xA4
&#x05E7;	\xD7\xA7
&#x05E8;	\xD7\xA8
&#1513;	\xD7\xA9
&#x05F0;	\xD7\xB0
&#x621;	\xD8\xA1
&#1570;	\xD8\xA2
&#x627;	\xD8\xA7
&#1576;	\xD8\xA8
&#1577;	\xD8\xA9
&#1578;	\xD8\xAA
&#x062B;	\xD8\xAB
&#x062C;	\xD8\xAC
&#x062D;	\xD8\xAD
&#x062E;	\xD8\xAE
&#1583;	\xD8\xAF
&#x0630;	\xD8\xB0
&#x0631;	\xD8\xB1
&#1586;	\xD8\xB2
&#1587;	\xD8\xB3
&#x0634;	\xD8\xB4
&#1589;	\xD8\xB5
&#x0636;	\xD8\xB6
&#1591;	\xD8\xB7
&#x0638;	\xD8\xB8
&#1593;	\xD8\xB9
&#1594;	\xD8\xBA
&#x0641;	\xD9\x81
&#1602;	\xD9\x82
&#1603;	\xD9\x83
&#1604;	\xD9\x84
&#1605;	\xD9\x85
&#1606;	\xD9\x86
&#1607;	\xD9\x87
&#1608;	\xD9\x88
&#1609;	\xD9\x89
&#x064A;	\xD9\x8A
&#1614;	\xD9\x8E
&#x064F;	\xD9\x8F
&#x0650;	\xD9\x90
&#x0651;	\xD9\x91
&#x0652;	\xD9\x92
&#1740;	\xDB\x8C
&#x0903;	\xE0\xA4\x83
&#2325;	\xE0\xA4\x95
&#x0917;	\xE0\xA4\x97
&#x0923;	\xE0\xA4\xA3
&#2340;	\xE0\xA4\xA4
&#2342;	\xE0\xA4\xA6
&#x0928;	\xE0\xA4\xA8
&#x092e;	\xE0\xA4\xAE
&#x0930;	\xE0\xA4\xB0
&#2354;	\xE0\xA4\xB2
&#x0935;	\xE0\xA4\xB5
&#x0936;	\xE0\xA4\xB6
&#x0938;	\xE0\xA4\xB8
&#2366;	\xE0\xA4\xBE
&#2367;	\xE0\xA4\xBF
&#x0940;	\xE0\xA5\x80
&#x0942;	\xE0\xA5\x82
&#x0947;	\xE0\xA5\x87
&#x94d;	\xE0\xA5\x8D
&#2406;	\xE0\xA5\xA6
&#2407;	\xE0\xA5\xA7
&#x968;	\xE0\xA5\xA8
&#x969;	\xE0\xA5\xA9
&#2410;	\xE0\xA5\xAA
&#2411;	\xE0\xA5\xAB
&#x96c;	\xE0\xA5\xAC
&#2413;	\xE0\xA5\xAD
&#2414;	\xE0\xA5\xAE
&#2415;	\xE0\xA5\xAF
&#x0b95;	\xE0\xAE\x95
&#x0bae;	\xE0\xAE\xAE
&#x0bb0;	\xE0\xAE\xB0
&#x0bbe;	\xE0\xAE\xBE
&#x0bcd;	\xE0\xAF\x8D
&#3349;	\xE0\xB4\x95
&#3379;	\xE0\xB4\xB3
&#x0E01;	\xE0\xB8\x81
&#3591;	\xE0\xB8\x87
&#x0E14;	\xE0\xB8\x94
&#x0E17;	\xE0\xB8\x97
&#3619;	\xE0\xB8\xA3
&#x0E30;	\xE0\xB8\xB0
&#3636;	\xE0\xB8\xB4
&#3649;	\xE0\xB9\x81
&#4096;	\xE1\x80\x80
&#x104a;	\xE1\x81\x8A
&#x104b;	\xE1\x81\x8B
&#4944;	\xE1\x8D\x90
&#x16cf;	\xE1\x9B\x8F
&#x16DE;	\xE1\x9B\x9E
&#7703;	\xE1\xB8\x97
&#x1e25;	\xE1\xB8\xA5
&#x1e37;	\xE1\xB8\xB7
&#x1e43;	\xE1\xB9\x83
&#x1e47;	\xE1\xB9\x87
&#7771;	\xE1\xB9\x9B
&#7778;	\xE1\xB9\xA2
&#7779;	\xE1\xB9\xA3
&#x1EB9;	\xE1\xBA\xB9
&#x1EBD;	\xE1\xBA\xBD
&#7877;	\xE1\xBB\x85
&#x1f00;	\xE1\xBC\x80
&#x1f01;	\xE1\xBC\x81
&#x1F08;	\xE1\xBC\x88
&#7949;	\xE1\xBC\x8D
&#7956;	\xE1\xBC\x94
&#7961;	\xE1\xBC\x99
&#x1F29;	\xE1\xBC\xA9
&#x1f30;	\xE1\xBC\xB0
&#x1f41;	\xE1\xBD\x81
&#x1f71;	\xE1\xBD\xB1
&#x1f73;	\xE1\xBD\xB3
&#x1f75;	\xE1\xBD\xB5
&#8055;	\xE1\xBD\xB7
&#8057;	\xE1\xBD\xB9
&#8059;	\xE1\xBD\xBB
&#x1f7d;	\xE1\xBD\xBD
&#8134;	\xE1\xBF\x86
&#8201;	\xE2\x80\x89
&#8203;	\xE2\x80\x8B
&#x200E;	\xE2\x80\x8E
&#8208;	\xE2\x80\x90
&#8211;	\xE2\x80\x93
&#x2014;	\xE2\x80\x94
&#x2019;	\xE2\x80\x99
&#x2022;	\xE2\x80\xA2
&#8227;	\xE2\x80\xA3
&#x2026;	\xE2\x80\xA6
&#8242;	\xE2\x80\xB2
&#x2033;	\xE2\x80\xB3
&#x2039;	\xE2\x80\xB9
&#8250;	\xE2\x80\xBA
&#x2053;	\xE2\x81\x93
&#8356;	\xE2\x82\xA4
&#8359;	\xE2\x82\xA7
&#x20AB;	\xE2\x82\xAB
&#x2113;	\xE2\x84\x93
&#x2116;	\xE2\x84\x96
&#8487;	\xE2\x84\xA7
&#8531;	\xE2\x85\x93
&#8592;	\xE2\x86\x90
&#8593;	\xE2\x86\x91
&#x2192;	\xE2\x86\x92
&#8595;	\xE2\x86\x93
&#x2194;	\xE2\x86\x94
&#x21cc;	\xE2\x87\x8C
&#x2206;	\xE2\x88\x86
&#x2207;	\xE2\x88\x87
&#8722;	\xE2\x88\x92
&#8758;	\xE2\x88\xB6
&#x223C;	\xE2\x88\xBC
&#x2248;	\xE2\x89\x88
&#8800;	\xE2\x89\xA0
&#8804;	\xE2\x89\xA4
&#x2265;	\xE2\x89\xA5
&#x226A;	\xE2\x89\xAA
&#x2295;	\xE2\x8A\x95
&#8866;	\xE2\x8A\xA2
&#x22A4;	\xE2\x8A\xA4
&#x22a5;	\xE2\x8A\xA5
&#x22a7;	\xE2\x8A\xA7
&#x22a8;	\xE2\x8A\xA8
&#x22BB;	\xE2\x8A\xBB
&#x22CA;	\xE2\x8B\x8A
&#x2300;	\xE2\x8C\x80
&#9608;	\xE2\x96\x88
&#09618;	\xE2\x96\x92
&#9675;	\xE2\x97\x8B
&#9676;	\xE2\x97\x8C
&#x2605;	\xE2\x98\x85
&#x2609;	\xE2\x98\x89
&#9742;	\xE2\x98\x8E
&#x2627;	\xE2\x98\xA7
&#x263E;	\xE2\x98\xBE
&#9791;	\xE2\x98\xBF
&#9792;	\xE2\x99\x80
&#9793;	\xE2\x99\x81
&#x2642;	\xE2\x99\x82
&#9795;	\xE2\x99\x83
&#9796;	\xE2\x99\x84
&#9797;	\xE2\x99\x85
&#x2646;	\xE2\x99\x86
&#9799;	\xE2\x99\x87
&#9824;	\xE2\x99\xA0
&#x266D;	\xE2\x99\xAD
&#9839;	\xE2\x99\xAF
&#x2706;	\xE2\x9C\x86
&#9997;	\xE2\x9C\x8D
&#x3005;	\xE3\x80\x85
&#12298;	\xE3\x80\x8A
&#12299;	\xE3\x80\x8B
&#12354;	\xE3\x81\x82
&#x306E;	\xE3\x81\xAE
&#12399;	\xE3\x81\xAF
&#12412;	\xE3\x81\xBC
&#12435;	\xE3\x82\x93
&#12450;	\xE3\x82\xA2
&#12454;	\xE3\x82\xA6
&#x30A8;	\xE3\x82\xA8
&#x30af;	\xE3\x82\xAF
&#12466;	\xE3\x82\xB2
&#x30B8;	\xE3\x82\xB8
&#12473;	\xE3\x82\xB9
&#x30BF;	\xE3\x82\xBF
&#12487;	\xE3\x83\x87
&#x30c8;	\xE3\x83\x88
&#x30ce;	\xE3\x83\x8E
&#12502;	\xE3\x83\x96
&#x30D7;	\xE3\x83\x97
&#12505;	\xE3\x83\x99
&#12519;	\xE3\x83\xA7
&#12522;	\xE3\x83\xAA
&#x30EB;	\xE3\x83\xAB
&#x30ED;	\xE3\x83\xAD
&#x30F3;	\xE3\x83\xB3
&#12539;	\xE3\x83\xBB
&#12540;	\xE3\x83\xBC
&#x4E00;	\xE4\xB8\x80
&#x4E03;	\xE4\xB8\x83
&#19977;	\xE4\xB8\x89
&#20024;	\xE4\xB8\xB8
&#x4E5D;	\xE4\xB9\x9D
&#x4E8C;	\xE4\xBA\x8C
&#20110;	\xE4\xBA\x8E
&#20116;	\xE4\xBA\x94
&#x4EBA;	\xE4\xBA\xBA
&#20181;	\xE4\xBB\x95
&#20219;	\xE4\xBB\xBB
&#20250;	\xE4\xBC\x9A
&#x4f50;	\xE4\xBD\x90
&#x4f5b;	\xE4\xBD\x9B
&#20843;	\xE5\x85\xAB
&#20845;	\xE5\x85\xAD
&#x521D;	\xE5\x88\x9D
&#x52a8;	\xE5\x8A\xA8
&#21171;	\xE5\x8A\xB3
&#21191;	\xE5\x8B\x87
&#21213;	\xE5\x8B\x9D
&#21271;	\xE5\x8C\x97
&#21313;	\xE5\x8D\x81
&#21332;	\xE5\x8D\x94
&#x537F;	\xE5\x8D\xBF
&#x53f3;	\xE5\x8F\xB3
&#21512;	\xE5\x90\x88
&#21644;	\xE5\x92\x8C
&#22235;	\xE5\x9B\x9B
&#x56E3;	\xE5\x9B\xA3
&#22269;	\xE5\x9B\xBD
&#22283;	\xE5\x9C\x8B
&#x5927;	\xE5\xA4\xA7
&#22826;	\xE5\xA4\xAA
&#x592B;	\xE5\xA4\xAB
&#23433;	\xE5\xAE\x89
&#23494;	\xE5\xAF\x86
&#x5C40;	\xE5\xB1\x80
&#x5dde;	\xE5\xB7\x9E
&#x6240;	\xE6\x89\x80
&#25705;	\xE6\x91\xA9
&#25954;	\xE6\x95\xA2
&#26085;	\xE6\x97\xA5
&#26126;	\xE6\x98\x8E
&#26157;	\xE6\x98\xAD
&#x666F;	\xE6\x99\xAF
&#x6708;	\xE6\x9C\x88
&#26408;	\xE6\x9C\xA8
&#x672c;	\xE6\x9C\xAC
&#26420;	\xE6\x9C\xB4
&#x6B63;	\xE6\xAD\xA3
&#27671;	\xE6\xB0\x97
&#27861;	\xE6\xB3\x95
&#28748;	\xE7\x81\x8C
&#28961;	\xE7\x84\xA1
&#29420;	\xE7\x8B\xAC
&#30000;	\xE7\x94\xB0
&#30334;	\xE7\x99\xBE
&#x793E;	\xE7\xA4\xBE
&#x795E;	\xE7\xA5\x9E
&#31119;	\xE7\xA6\x8F
&#31281;	\xE7\xA8\xB1
&#31456;	\xE7\xAB\xA0
&#x7B97;	\xE7\xAE\x97
&#x7d93;	\xE7\xB6\x93
&#x7dad;	\xE7\xB6\xAD
&#33294;	\xE8\x88\x8E
&#33391;	\xE8\x89\xAF
&#x8282;	\xE8\x8A\x82
&#34382;	\xE8\x99\x8E
&#x884c;	\xE8\xA1\x8C
&#x8853;	\xE8\xA1\x93
&#x8857;	\xE8\xA1\x97
&#x8A9E;	\xE8\xAA\x9E
&#x8aa0;	\xE8\xAA\xA0
&#x8aaa;	\xE8\xAA\xAA
&#36001;	\xE8\xB2\xA1
&#36039;	\xE8\xB3\x87
&#x900f;	\xE9\x80\x8F
&#36896;	\xE9\x80\xA0
&#36947;	\xE9\x81\x93
&#37504;	\xE9\x8A\x80
&#38263;	\xE9\x95\xB7
&#38469;	\xE9\x99\x85
&#38742;	\xE9\x9D\x96
&#x9B5A;	\xE9\xAD\x9A
&#65170;	\xEF\xBA\x92
&#xFEF4;	\xEF\xBB\xB4
&#xFFFD;	\xEF\xBF\xBD
